id,prefectures,city,ward,town,polygon
0,京都府,京都市,下京区,七条七条御所ノ内中町,"POLYGON((135.73320116641625 34.985510029679354,135.73317136390068 34.98656971560056,135.7325151090714 34.98655004270564,135.7325467993985 34.98551719500902,135.73320116641625 34.985510029679354))"
1,京都府,京都市,下京区,七条七条御所ノ内北町,"POLYGON((135.73315405124458 34.98712282767851,135.73313456980787 34.98774453306089,135.73247749537808 34.98773035177159,135.7324873286194 34.98742161247838,135.73249263671212 34.98725505822157,135.7325036838194 34.98690822001812,135.73251498858482 34.98655412712018,135.7325151090714 34.98655004270564,135.73317136390068 34.98656971560056,135.7331639490085 34.98680620034793,135.73315405124458 34.98712282767851))"
2,京都府,京都市,下京区,七条七条御所ノ内南町,"POLYGON((135.73331002407835 34.98246637898591,135.73326005994397 34.98410354268944,135.7325279490946 34.98410194553611,135.73253610021303 34.983908986350805,135.73258382030716 34.98353201181401,135.73266268116734 34.98319722223858,135.7326639280398 34.98311601996959,135.7326791959719 34.982119758174434,135.73331002407835 34.98246637898591))"
3,京都府,京都市,下京区,七条七条御所ノ内本町,"POLYGON((135.73320116641625 34.985510029679354,135.7325467993985 34.98551719500902,135.73254675471085 34.98551099712621,135.7325443232641 34.98513637783301,135.7325688612305 34.984950427547425,135.73255836259756 34.98483560449261,135.73251145188232 34.98454843138189,135.7325225579011 34.984248004093196,135.7325279490946 34.98410194553611,135.73326005994397 34.98410354268944,135.73325413657278 34.9842496001281,135.7332256309487 34.98495298723548,135.73320116641625 34.985510029679354))"
4,京都府,京都市,下京区,七条御所ノ内中町,"POLYGON((135.73131668372002 34.98551323312979,135.73254675471085 34.98551099712621,135.7325467993985 34.98551719500902,135.7325151090714 34.98655004270564,135.73251498858482 34.98655412712018,135.73132274478345 34.986537853275486,135.7310039615808 34.986535815401275,135.73035488744992 34.986531710893395,135.7301316901112 34.98653030313653,135.73013715373156 34.985519019921036,135.73036699858804 34.9855145969921,135.73131668372002 34.98551323312979))"
5,京都府,京都市,下京区,七条御所ノ内北町,"POLYGON((135.73249263671212 34.98725505822157,135.7324873286194 34.98742161247838,135.73247749537808 34.98773035177159,135.73247596251164 34.98778781849244,135.73212677081847 34.98778967548935,135.73212685213983 34.987825170081884,135.73185352666277 34.98781300732213,135.73180038434916 34.98781267994976,135.7317877638876 34.9877262353525,135.73155945823075 34.98772235430732,135.7315572603877 34.987813132350425,135.73130221943242 34.987813699639794,135.73130296571014 34.98778792494302,135.7307198176943 34.98778438974889,135.73067095956316 34.98779548057716,135.7301216411958 34.98777680428139,135.73013514288732 34.987388558300914,135.7301337769952 34.9868489290897,135.7301316901112 34.98653030313653,135.73035488744992 34.986531710893395,135.7310039615808 34.986535815401275,135.73132274478345 34.986537853275486,135.73251498858482 34.98655412712018,135.7325036838194 34.98690822001812,135.73249263671212 34.98725505822157))"
6,京都府,京都市,下京区,七条御所ノ内南町,"POLYGON((135.73179109278666 34.98311706890252,135.7326639280398 34.98311601996959,135.73266268116734 34.98319722223858,135.73258382030716 34.98353201181401,135.73253610021303 34.983908986350805,135.7325279490946 34.98410194553611,135.73179444973232 34.98410534152614,135.73132466817242 34.98410825554578,135.73038303236922 34.9841128060633,135.73037760190385 34.98392016963069,135.73053846815932 34.983917213503496,135.7305329464391 34.98373302929635,135.73053080274298 34.983582304337,135.7304737904233 34.9835821788398,135.73046861349516 34.983206483328836,135.7305513724635 34.98319704472489,135.73055148620975 34.98310040638188,135.73055151813588 34.9830722959963,135.7305511981549 34.98298680820552,135.7305511619936 34.982977008861596,135.7309155200481 34.98297196488455,135.73091595680225 34.98306954470323,135.7310667717944 34.98307102637729,135.73107205762946 34.983071078555064,135.7310736382138 34.98301856536058,135.73107400877797 34.98300626435611,135.7310753475951 34.982961787469506,135.73107570347867 34.982949961521236,135.73107691224521 34.98290979710688,135.73107722525947 34.9828993728911,135.73107730129013 34.98289686148937,135.73107808114057 34.98289686590676,135.7313608811054 34.98289842789075,135.73138944881396 34.98239224446386,135.73181209560707 34.982408594645335,135.73179109278666 34.98311706890252))"
7,京都府,京都市,下京区,七条御所ノ内本町,"POLYGON((135.73255836259756 34.98483560449261,135.7325688612305 34.984950427547425,135.7325443232641 34.98513637783301,135.73254675471085 34.98551099712621,135.73131668372002 34.98551323312979,135.73036699858804 34.9855145969921,135.73013715373156 34.985519019921036,135.730129800425 34.984620536818085,135.73012711160044 34.98424274726687,135.73012620269822 34.98411407112596,135.73038303236922 34.9841128060633,135.73132466817242 34.98410825554578,135.73179444973232 34.98410534152614,135.7325279490946 34.98410194553611,135.7325225579011 34.984248004093196,135.73251145188232 34.98454843138189,135.73255836259756 34.98483560449261))"
8,京都府,京都市,下京区,七条御所ノ内西町,"POLYGON((135.72949241046152 34.98552104786861,135.73013715373156 34.985519019921036,135.7301316901112 34.98653030313653,135.7301337769952 34.9868489290897,135.73013514288732 34.987388558300914,135.7301216411958 34.98777680428139,135.73012122293133 34.98784638673664,135.7295896044456 34.98784521343865,135.72942559879073 34.98784456973832,135.72942623797817 34.98779942539504,135.7289684612604 34.98780165254864,135.72848283798177 34.987794801300105,135.72834056804123 34.9877944856158,135.72833131795872 34.987849188267596,135.72840975236082 34.987926482148914,135.7283280266812 34.987926300776046,135.7283087616246 34.9884973666805,135.72848132652416 34.98849774963358,135.72848354391814 34.98874179073243,135.72842009339234 34.98898188272958,135.72839288554792 34.98908500063248,135.72794971025812 34.989061831503335,135.72740739469373 34.989071893374856,135.7273455712515 34.98855607527569,135.72718078511218 34.98840872276095,135.72725195267407 34.98800236513533,135.72725201759644 34.98800194248102,135.7271058777787 34.987981192555004,135.72712553811348 34.987786007834394,135.72715355908352 34.98778797154718,135.7271531117594 34.987735501105114,135.72715137354623 34.98752907035163,135.72716868348266 34.98715097516332,135.72718803394633 34.986718937497535,135.72719779839835 34.98655366191319,135.7271976499865 34.98654647756486,135.72718716130916 34.98601992490805,135.72722664532992 34.98596388037744,135.72789349706002 34.98591437416183,135.72794929177277 34.98582977110718,135.72795992873807 34.98574302578975,135.7282122046829 34.98574872830228,135.72820583404476 34.985799704556044,135.72847334164862 34.98581227097826,135.72848219091998 34.98552606571824,135.72898748591348 34.98551915670119,135.72949241046152 34.98552104786861))"
9,京都府,京都市,下京区,七条西七条南衣田町,"POLYGON((135.7331232473075 34.98823779274336,135.73310034888857 34.989235511552906,135.73300576426774 34.98923530436617,135.73243703956555 34.989234063348505,135.73246412268736 34.988227761824014,135.73247596251164 34.98778781849244,135.73247749537808 34.98773035177159,135.73313456980787 34.98774453306089,135.73313391783975 34.987772824947825,135.73313370006952 34.98778228111805,135.7331232473075 34.98823779274336))"
